source_node	source_type	edge_type	target_node	target_type
L-AP4	drug	interacts_with	GRM8	gene
DCG-IV	drug	interacts_with	GRM8	gene
DCPG	drug	interacts_with	GRM8	gene
eglumetad	drug	interacts_with	GRM8	gene
L-AP4	drug	interacts_with	GRM8	gene
tretinoin	drug	interacts_with	RARB	gene
adapalene	drug	interacts_with	RARB	gene
alitretinoin	drug	interacts_with	RARB	gene
tazarotene	drug	interacts_with	RARB	gene
tamibarotene	drug	interacts_with	RARB	gene
cabozantinib	drug	interacts_with	MET	gene
crizotinib	drug	interacts_with	MET	gene
tivantinib	drug	interacts_with	MET	gene
cabozantinib	drug	interacts_with	MET	gene
crizotinib	drug	interacts_with	MET	gene
tivantinib	drug	interacts_with	MET	gene
cabozantinib	drug	interacts_with	MET	gene
crizotinib	drug	interacts_with	MET	gene
tivantinib	drug	interacts_with	MET	gene
chrysin	drug	interacts_with	CYP1B1	gene
chrysin	drug	interacts_with	CYP1B1	gene
pethidine	drug	interacts_with	OPRM1	gene
morphine	drug	interacts_with	OPRM1	gene
codeine	drug	interacts_with	OPRM1	gene
(RS)-methadone	drug	interacts_with	OPRM1	gene
nalbuphine	drug	interacts_with	OPRM1	gene
hydromorphone	drug	interacts_with	OPRM1	gene
fentanyl	drug	interacts_with	OPRM1	gene
buprenorphine	drug	interacts_with	OPRM1	gene
sunitinib	drug	interacts_with	FLT3	gene
sorafenib	drug	interacts_with	FLT3	gene
pacritinib	drug	interacts_with	FLT3	gene
cediranib	drug	interacts_with	FLT3	gene
crenolanib	drug	interacts_with	FLT3	gene
lestaurtinib	drug	interacts_with	FLT3	gene
linifanib	drug	interacts_with	FLT3	gene
midostaurin	drug	interacts_with	FLT3	gene
ceritinib	drug	interacts_with	FLT3	gene
phenelzine	drug	interacts_with	CYP2C8	gene
phenelzine	drug	interacts_with	CYP2C8	gene
PF-4800567	drug	interacts_with	CSNK1D	gene
topiramate	drug	interacts_with	CA4	gene
acetazolamide	drug	interacts_with	CA4	gene
chlorthalidone	drug	interacts_with	CA4	gene
methazolamide	drug	interacts_with	CA4	gene
dichlorphenamide	drug	interacts_with	CA4	gene
Inclusion membrane protein E CT_116	drug	interacts_with	CADM1	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	CADM1	gene
CGS8216	drug	interacts_with	GABRA1	gene
SB-203580	drug	interacts_with	GAK	gene
linaclotide	drug	interacts_with	GUCY2C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
nifedipine	drug	interacts_with	CACNA1C	gene
verapamil	drug	interacts_with	CACNA1C	gene
diltiazem	drug	interacts_with	CACNA1C	gene
nisoldipine	drug	interacts_with	CACNA1C	gene
mibefradil	drug	interacts_with	CACNA1C	gene
anisindione	drug	interacts_with	GGCX	gene
Hypothetical protein CT_556	drug	interacts_with	GGCX	gene
Hypothetical protein CTL0819	drug	interacts_with	GGCX	gene
membrane protein [SARS-CoV-2]	drug	interacts_with	GGCX	gene
Ziconotide	drug	interacts_with	CACNA1B	gene
aniracetam	drug	interacts_with	GRIA3	gene
(S)-AMPA	drug	interacts_with	GRIA3	gene
NBQX	drug	interacts_with	GRIA3	gene
CX546	drug	interacts_with	GRIA3	gene
cx516	drug	interacts_with	GRIA3	gene
cyclothiazide	drug	interacts_with	GRIA3	gene
GYKI-2466	drug	interacts_with	GRIA3	gene
S-18986	drug	interacts_with	GRIA3	gene
IDRA-21	drug	interacts_with	GRIA3	gene
tezampanel	drug	interacts_with	GRIA3	gene
LY-300168	drug	interacts_with	GRIA3	gene
Joro toxin	drug	interacts_with	GRIA3	gene
argiotoxin	drug	interacts_with	GRIA3	gene
fenclonine	drug	interacts_with	PAH	gene
Brigatinib	drug	interacts_with	INSR	gene
ceritinib	drug	interacts_with	INSR	gene
genistein	drug	interacts_with	CFTR	gene
glyburide	drug	interacts_with	CFTR	gene
felodipine	drug	interacts_with	CFTR	gene
nimodipine	drug	interacts_with	CFTR	gene
apigenin	drug	interacts_with	CFTR	gene
ivacaftor	drug	interacts_with	CFTR	gene
genistein	drug	interacts_with	CFTR	gene
glyburide	drug	interacts_with	CFTR	gene
felodipine	drug	interacts_with	CFTR	gene
nimodipine	drug	interacts_with	CFTR	gene
apigenin	drug	interacts_with	CFTR	gene
ivacaftor	drug	interacts_with	CFTR	gene
ibrutinib	drug	interacts_with	BTK	gene
telaprevir	drug	interacts_with	CTSA	gene
boceprevir	drug	interacts_with	CTSA	gene
clomipramine	drug	interacts_with	SLC6A3	gene
mazindol	drug	interacts_with	SLC6A3	gene
nomifensine	drug	interacts_with	SLC6A3	gene
atomoxetine	drug	interacts_with	SLC6A3	gene
methylphenidate	drug	interacts_with	SLC6A3	gene
trimipramine	drug	interacts_with	SLC6A3	gene
sibutramine	drug	interacts_with	SLC6A3	gene
bupropion	drug	interacts_with	SLC6A3	gene
dexmethylphenidate	drug	interacts_with	SLC6A3	gene
dextroamphetamine	drug	interacts_with	SLC6A3	gene
phenelzine	drug	interacts_with	SLC6A3	gene
Desvenlafaxine	drug	interacts_with	SLC6A3	gene
gbr-12935	drug	interacts_with	SLC6A3	gene
levomilnacipran	drug	interacts_with	SLC6A3	gene
WIN35428	drug	interacts_with	SLC6A3	gene
Brigatinib	drug	interacts_with	IGF1R	gene
ceritinib	drug	interacts_with	IGF1R	gene
Inclusion membrane protein E CT_116	drug	interacts_with	IGF2R	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	IGF2R	gene
adenosine diphosphate	drug	interacts_with	P2RY12	gene
1-octanol	drug	interacts_with	GJA1	gene
flufenamic acid	drug	interacts_with	GJA1	gene
carbenoxolone	drug	interacts_with	GJA1	gene
1-octanol	drug	interacts_with	GJA1	gene
flufenamic acid	drug	interacts_with	GJA1	gene
carbenoxolone	drug	interacts_with	GJA1	gene
1-octanol	drug	interacts_with	GJA1	gene
flufenamic acid	drug	interacts_with	GJA1	gene
carbenoxolone	drug	interacts_with	GJA1	gene
1-octanol	drug	interacts_with	GJA1	gene
flufenamic acid	drug	interacts_with	GJA1	gene
carbenoxolone	drug	interacts_with	GJA1	gene
ruxolitinib	drug	interacts_with	TYK2	gene
ruxolitinib	drug	interacts_with	TYK2	gene
ruxolitinib	drug	interacts_with	TYK2	gene
Vesamicol	drug	interacts_with	SLC18A3	gene
cortisol	drug	interacts_with	NR3C1	gene
desoximetasone	drug	interacts_with	NR3C1	gene
mifepristone	drug	interacts_with	NR3C1	gene
betamethasone	drug	interacts_with	NR3C1	gene
methylprednisolone	drug	interacts_with	NR3C1	gene
Clobetasol propionate	drug	interacts_with	NR3C1	gene
budesonide	drug	interacts_with	NR3C1	gene
dexamethasone	drug	interacts_with	NR3C1	gene
prednisone	drug	interacts_with	NR3C1	gene
fluorometholone	drug	interacts_with	NR3C1	gene
difluprednate	drug	interacts_with	NR3C1	gene
fluocinolone acetonide	drug	interacts_with	NR3C1	gene
desoxycortone	drug	interacts_with	NR3C1	gene
fluticasone	drug	interacts_with	NR3C1	gene
triamcinolone	drug	interacts_with	NR3C1	gene
triamcinolone acetonide	drug	interacts_with	NR3C1	gene
Ciclesonide	drug	interacts_with	NR3C1	gene
fluocinonide	drug	interacts_with	NR3C1	gene
RU28362	drug	interacts_with	NR3C1	gene
fluticasone propionate	drug	interacts_with	NR3C1	gene
prednisolone	drug	interacts_with	NR3C1	gene
prunetin	drug	interacts_with	ALDH2	gene
Alda-1	drug	interacts_with	ALDH2	gene
prunetin	drug	interacts_with	ALDH2	gene
Alda-1	drug	interacts_with	ALDH2	gene
prunetin	drug	interacts_with	ALDH2	gene
Alda-1	drug	interacts_with	ALDH2	gene
prunetin	drug	interacts_with	ALDH2	gene
Alda-1	drug	interacts_with	ALDH2	gene
prunetin	drug	interacts_with	ALDH2	gene
Alda-1	drug	interacts_with	ALDH2	gene
Hypothetical protein CT_728	drug	interacts_with	SLC19A2	gene
Hypothetical protein CTL0097	drug	interacts_with	SLC19A2	gene
momelotinib	drug	interacts_with	JAK2	gene
pacritinib	drug	interacts_with	JAK2	gene
baricitinib	drug	interacts_with	JAK2	gene
ruxolitinib	drug	interacts_with	JAK2	gene
momelotinib	drug	interacts_with	JAK2	gene
pacritinib	drug	interacts_with	JAK2	gene
baricitinib	drug	interacts_with	JAK2	gene
ruxolitinib	drug	interacts_with	JAK2	gene
momelotinib	drug	interacts_with	JAK2	gene
pacritinib	drug	interacts_with	JAK2	gene
baricitinib	drug	interacts_with	JAK2	gene
ruxolitinib	drug	interacts_with	JAK2	gene
momelotinib	drug	interacts_with	JAK2	gene
pacritinib	drug	interacts_with	JAK2	gene
baricitinib	drug	interacts_with	JAK2	gene
ruxolitinib	drug	interacts_with	JAK2	gene
momelotinib	drug	interacts_with	JAK2	gene
pacritinib	drug	interacts_with	JAK2	gene
baricitinib	drug	interacts_with	JAK2	gene
ruxolitinib	drug	interacts_with	JAK2	gene
ticagrelor	drug	interacts_with	P2RY12	gene
cangrelor	drug	interacts_with	P2RY12	gene
tropicamide	drug	interacts_with	CHRM3	gene
amitriptyline	drug	interacts_with	CHRM3	gene
darifenacin	drug	interacts_with	CHRM3	gene
acetylcholine	drug	interacts_with	CHRM3	gene
3-quinuclidinyl-benzilate	drug	interacts_with	CHRM3	gene
brucine	drug	interacts_with	CHRM3	gene
pilocarpine	drug	interacts_with	CHRM3	gene
glycopyrrolate	drug	interacts_with	CHRM3	gene
biperiden	drug	interacts_with	CHRM3	gene
vincamine	drug	interacts_with	CHRM3	gene
bethanechol	drug	interacts_with	CHRM3	gene
pirenzepine	drug	interacts_with	CHRM3	gene
arecoline	drug	interacts_with	CHRM3	gene
tolterodine	drug	interacts_with	CHRM3	gene
aclidinium	drug	interacts_with	CHRM3	gene
oxotremorine	drug	interacts_with	CHRM3	gene
(RS)-oxybutynin	drug	interacts_with	CHRM3	gene
vinburnine	drug	interacts_with	CHRM3	gene
dicyclomine	drug	interacts_with	CHRM3	gene
propantheline	drug	interacts_with	CHRM3	gene
clidinium	drug	interacts_with	CHRM3	gene
hexocyclium	drug	interacts_with	CHRM3	gene
himbacine	drug	interacts_with	CHRM3	gene
milameline	drug	interacts_with	CHRM3	gene
sabcomeline	drug	interacts_with	CHRM3	gene
xanomeline	drug	interacts_with	CHRM3	gene
methoctramine free base	drug	interacts_with	CHRM3	gene
umeclidinium	drug	interacts_with	CHRM3	gene
tropicamide	drug	interacts_with	CHRM3	gene
amitriptyline	drug	interacts_with	CHRM3	gene
darifenacin	drug	interacts_with	CHRM3	gene
acetylcholine	drug	interacts_with	CHRM3	gene
3-quinuclidinyl-benzilate	drug	interacts_with	CHRM3	gene
brucine	drug	interacts_with	CHRM3	gene
pilocarpine	drug	interacts_with	CHRM3	gene
glycopyrrolate	drug	interacts_with	CHRM3	gene
biperiden	drug	interacts_with	CHRM3	gene
vincamine	drug	interacts_with	CHRM3	gene
bethanechol	drug	interacts_with	CHRM3	gene
pirenzepine	drug	interacts_with	CHRM3	gene
arecoline	drug	interacts_with	CHRM3	gene
tolterodine	drug	interacts_with	CHRM3	gene
aclidinium	drug	interacts_with	CHRM3	gene
oxotremorine	drug	interacts_with	CHRM3	gene
(RS)-oxybutynin	drug	interacts_with	CHRM3	gene
vinburnine	drug	interacts_with	CHRM3	gene
dicyclomine	drug	interacts_with	CHRM3	gene
propantheline	drug	interacts_with	CHRM3	gene
clidinium	drug	interacts_with	CHRM3	gene
hexocyclium	drug	interacts_with	CHRM3	gene
himbacine	drug	interacts_with	CHRM3	gene
milameline	drug	interacts_with	CHRM3	gene
sabcomeline	drug	interacts_with	CHRM3	gene
xanomeline	drug	interacts_with	CHRM3	gene
methoctramine free base	drug	interacts_with	CHRM3	gene
umeclidinium	drug	interacts_with	CHRM3	gene
Non-structural protein 9 [SARS-CoV-2]	drug	interacts_with	FBN2	gene
picrotoxin	drug	interacts_with	GABRG2	gene
1-octanol	drug	interacts_with	GJA8	gene
flufenamic acid	drug	interacts_with	GJA8	gene
carbenoxolone	drug	interacts_with	GJA8	gene
1-octanol	drug	interacts_with	GJB1	gene
flufenamic acid	drug	interacts_with	GJB1	gene
carbenoxolone	drug	interacts_with	GJB1	gene
1-octanol	drug	interacts_with	GJB2	gene
flufenamic acid	drug	interacts_with	GJB2	gene
carbenoxolone	drug	interacts_with	GJB2	gene
1-octanol	drug	interacts_with	GJB2	gene
flufenamic acid	drug	interacts_with	GJB2	gene
carbenoxolone	drug	interacts_with	GJB2	gene
1-octanol	drug	interacts_with	GJB2	gene
flufenamic acid	drug	interacts_with	GJB2	gene
carbenoxolone	drug	interacts_with	GJB2	gene
1-octanol	drug	interacts_with	GJB2	gene
flufenamic acid	drug	interacts_with	GJB2	gene
carbenoxolone	drug	interacts_with	GJB2	gene
1-octanol	drug	interacts_with	GJB2	gene
flufenamic acid	drug	interacts_with	GJB2	gene
carbenoxolone	drug	interacts_with	GJB2	gene
1-octanol	drug	interacts_with	GJB3	gene
flufenamic acid	drug	interacts_with	GJB3	gene
carbenoxolone	drug	interacts_with	GJB3	gene
1-octanol	drug	interacts_with	GJB6	gene
flufenamic acid	drug	interacts_with	GJB6	gene
carbenoxolone	drug	interacts_with	GJB6	gene
1-octanol	drug	interacts_with	GJB6	gene
flufenamic acid	drug	interacts_with	GJB6	gene
carbenoxolone	drug	interacts_with	GJB6	gene
1-octanol	drug	interacts_with	GJB6	gene
flufenamic acid	drug	interacts_with	GJB6	gene
carbenoxolone	drug	interacts_with	GJB6	gene
1-octanol	drug	interacts_with	GJC2	gene
flufenamic acid	drug	interacts_with	GJC2	gene
carbenoxolone	drug	interacts_with	GJC2	gene
Inclusion membrane protein E CT_116	drug	interacts_with	DPP9	gene
Inclusion membrane protein E CTL0371	drug	interacts_with	DPP9	gene
1-octanol	drug	interacts_with	GJB4	gene
flufenamic acid	drug	interacts_with	GJB4	gene
carbenoxolone	drug	interacts_with	GJB4	gene
nafamostat	drug	interacts_with	C1R	gene
olaparib	drug	interacts_with	PARP1	gene
rucaparib	drug	interacts_with	PARP1	gene
Brigatinib	drug	interacts_with	ALK	gene
crizotinib	drug	interacts_with	ALK	gene
ceritinib	drug	interacts_with	ALK	gene
Hypothetical protein CT_005	drug	interacts_with	ASPH	gene
Hypothetical protein CTL0260	drug	interacts_with	ASPH	gene
nifedipine	drug	interacts_with	CACNA1S	gene
verapamil	drug	interacts_with	CACNA1S	gene
diltiazem	drug	interacts_with	CACNA1S	gene
staurosporine	drug	interacts_with	CAMK2B	gene
staurosporine	drug	interacts_with	CAMK2B	gene
staurosporine	drug	interacts_with	CAMK2B	gene
pancuronium (cation)	drug	interacts_with	CHRNA1	gene
succinylcholine	drug	interacts_with	CHRNA1	gene
mecamylamine	drug	interacts_with	CHRNA1	gene
hexamethonium	drug	interacts_with	CHRNA2	gene
mecamylamine	drug	interacts_with	CHRNA2	gene
hexamethonium	drug	interacts_with	CHRNA3	gene
mecamylamine	drug	interacts_with	CHRNA3	gene
hexamethonium	drug	interacts_with	CHRNA3	gene
mecamylamine	drug	interacts_with	CHRNA3	gene
furosemide	drug	interacts_with	GPR35	gene
pamoic acid	drug	interacts_with	GPR35	gene
kynurenic acid	drug	interacts_with	GPR35	gene
zaprinast	drug	interacts_with	GPR35	gene
furosemide	drug	interacts_with	GPR35	gene
pamoic acid	drug	interacts_with	GPR35	gene
kynurenic acid	drug	interacts_with	GPR35	gene
zaprinast	drug	interacts_with	GPR35	gene
furosemide	drug	interacts_with	GPR35	gene
pamoic acid	drug	interacts_with	GPR35	gene
kynurenic acid	drug	interacts_with	GPR35	gene
zaprinast	drug	interacts_with	GPR35	gene
anandamide	drug	interacts_with	KCNA2	gene
Hypothetical protein CT_164	drug	interacts_with	LPA	gene
desmosterol	drug	interacts_with	NR1H3	gene
(25R)-cholest-5-ene-3β,26-diol	drug	interacts_with	NR1H3	gene
Hypothetical protein CT_449	drug	interacts_with	DDHD2	gene
Hypothetical protein CTL0709	drug	interacts_with	DDHD2	gene
Helicase [SARS-CoV-2]	drug	interacts_with	FYCO1	gene
progesterone	drug	interacts_with	CATSPER2	gene
alprostadil	drug	interacts_with	CATSPER2	gene
mibefradil	drug	interacts_with	CATSPER2	gene
Helicase [SARS-CoV-2]	drug	interacts_with	TBK1	gene
ingenol mebutate	drug	interacts_with	PRKCB	gene
balanol	drug	interacts_with	PRKCB	gene
enzastaurin	drug	interacts_with	PRKCB	gene
ruboxistaurin	drug	interacts_with	PRKCB	gene
ingenol mebutate	drug	interacts_with	PRKCG	gene
balanol	drug	interacts_with	PRKCG	gene
enzastaurin	drug	interacts_with	PRKCG	gene
ruboxistaurin	drug	interacts_with	PRKCG	gene
balanol	drug	interacts_with	PRKCH	gene
balanol	drug	interacts_with	PRKCH	gene
Hypothetical protein CTL0156	drug	interacts_with	INF2	gene
Hypothetical protein CT_788	drug	interacts_with	INF2	gene
Hypothetical protein CTL0156	drug	interacts_with	INF2	gene
Hypothetical protein CT_788	drug	interacts_with	INF2	gene
fadrozole	drug	interacts_with	CYP11B2	gene
sivelestat	drug	interacts_with	ELANE	gene
sivelestat	drug	interacts_with	ELANE	gene
lidocaine	drug	interacts_with	SCN5A	gene
lidocaine	drug	interacts_with	SCN5A	gene
lidocaine	drug	interacts_with	SCN5A	gene
lidocaine	drug	interacts_with	SCN5A	gene
caffeine	drug	interacts_with	RYR2	gene
adenosine triphosphate	drug	interacts_with	RYR2	gene
procaine	drug	interacts_with	RYR2	gene
suramin	drug	interacts_with	RYR2	gene
caffeine	drug	interacts_with	RYR2	gene
adenosine triphosphate	drug	interacts_with	RYR2	gene
procaine	drug	interacts_with	RYR2	gene
suramin	drug	interacts_with	RYR2	gene
caffeine	drug	interacts_with	RYR2	gene
adenosine triphosphate	drug	interacts_with	RYR2	gene
procaine	drug	interacts_with	RYR2	gene
suramin	drug	interacts_with	RYR2	gene
vismodegib	drug	interacts_with	SMO	gene
saridegib	drug	interacts_with	SMO	gene
sonidegib	drug	interacts_with	SMO	gene
LY-294002	drug	interacts_with	PIK3CA	gene
dactolisib	drug	interacts_with	PIK3CA	gene
idelalisib	drug	interacts_with	PIK3CA	gene
LY-294002	drug	interacts_with	PIK3CA	gene
dactolisib	drug	interacts_with	PIK3CA	gene
idelalisib	drug	interacts_with	PIK3CA	gene
LY-294002	drug	interacts_with	PIK3CA	gene
dactolisib	drug	interacts_with	PIK3CA	gene
idelalisib	drug	interacts_with	PIK3CA	gene
LY-294002	drug	interacts_with	PIK3CA	gene
dactolisib	drug	interacts_with	PIK3CA	gene
idelalisib	drug	interacts_with	PIK3CA	gene
LY-294002	drug	interacts_with	PIK3CA	gene
dactolisib	drug	interacts_with	PIK3CA	gene
idelalisib	drug	interacts_with	PIK3CA	gene
tranylcypromine	drug	interacts_with	MAOA	gene
moclobemide	drug	interacts_with	MAOA	gene
phenelzine	drug	interacts_with	MAOA	gene
clorgiline	drug	interacts_with	MAOA	gene
pirlindole	drug	interacts_with	MAOA	gene
befloxatone	drug	interacts_with	MAOA	gene
(RS)-mexiletine	drug	interacts_with	SCN4A	gene
(RS)-mexiletine	drug	interacts_with	SCN4A	gene
(RS)-mexiletine	drug	interacts_with	SCN4A	gene
(RS)-mexiletine	drug	interacts_with	SCN4A	gene
saxitoxin	drug	interacts_with	SCN9A	gene
lacosamide	drug	interacts_with	SCN9A	gene
saxitoxin	drug	interacts_with	SCN9A	gene
lacosamide	drug	interacts_with	SCN9A	gene
saxitoxin	drug	interacts_with	SCN9A	gene
lacosamide	drug	interacts_with	SCN9A	gene
saxitoxin	drug	interacts_with	SCN9A	gene
lacosamide	drug	interacts_with	SCN9A	gene
epigallocatechin gallate	drug	interacts_with	KAT2B	gene
plumbagin	drug	interacts_with	KAT2B	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH2	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH2	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH2	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH2	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH2	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH2	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH2	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH2	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH6	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH6	gene
Inclusion membrane protein CT_813	drug	interacts_with	MSH6	gene
Inclusion membrane protein CTL0184	drug	interacts_with	MSH6	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
pre-eclampsia	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
gestational hypertension	disease	associated_with	ADRA1D	gene
systemic lupus erythematosus	disease	associated_with	BLK	gene
smallpox	disease	associated_with	BLK	gene
rheumatoid arthritis	disease	associated_with	BLK	gene
maturity-onset diabetes of the young type 11	disease	associated_with	BLK	gene
congenital adrenal insufficiency	disease	associated_with	CYP11A1	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
rheumatoid arthritis	disease	associated_with	DPP4	gene
Li-Fraumeni syndrome	disease	associated_with	TP53	gene
Li-Fraumeni syndrome	disease	associated_with	TP53	gene
basal-cell carcinoma	disease	associated_with	TP53	gene
basal-cell carcinoma	disease	associated_with	TP53	gene
head and neck squamous cell carcinoma	disease	associated_with	TP53	gene
head and neck squamous cell carcinoma	disease	associated_with	TP53	gene
Li-Fraumeni syndrome 1	disease	associated_with	TP53	gene
Li-Fraumeni syndrome 1	disease	associated_with	TP53	gene
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome	disease	associated_with	MTOR	gene
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome	disease	associated_with	MTOR	gene
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome	disease	associated_with	MTOR	gene
macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome	disease	associated_with	MTOR	gene
Fabry disease	disease	associated_with	GLA	gene
autosomal recessive spinocerebellar ataxia 13	disease	associated_with	GRM1	gene
autosomal recessive spinocerebellar ataxia 13	disease	associated_with	GRM1	gene
spinocerebellar ataxia 44	disease	associated_with	GRM1	gene
spinocerebellar ataxia 44	disease	associated_with	GRM1	gene
chronic lymphocytic leukemia	disease	associated_with	BCL2	gene
renal hypomagnesemia 4	disease	associated_with	EGF	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
glioma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
non-small-cell lung carcinoma	disease	associated_with	EGFR	gene
Hyper-IgD syndrome	disease	associated_with	MVK	gene
Hyper-IgD syndrome	disease	associated_with	MVK	gene
Hyper-IgD syndrome	disease	associated_with	MVK	gene
mevalonic aciduria	disease	associated_with	MVK	gene
mevalonic aciduria	disease	associated_with	MVK	gene
