name,school_rating,size,reduced_lunch,state_percentile_16,state_percentile_15,stu_teach_ratio,school_type,avg_score_15,avg_score_16,full_time_teachers,percent_black,percent_white,percent_asian,percent_hispanic
Freedom Middle School,4,595,44,83.6,84.8,11.2,Public,75.5,74.8,53,15.8,58.2,1.8,20.2
Gallatin Senior High School,2,1498,51,32.2,33.4,15.7,Public,42.1,37.9,95,20.1,66.3,0.6,11.7
Gene W. Brown Elementary,3,457,45,52.2,64.7,12.3,Public,60.7,50.5,37,12.7,71.6,2.4,11.4
George A Whitten Elementary,2,431,52,33.4,35.9,13.9,Public,42.1,38.8,31,13,73.1,1.2,11.8
Glencliff Elementary,1,490,86,11.7,4.2,14,Public,8.3,18.5,35,9.4,26.3,1,61.2
Glencliff High School,1,1485,85,10.9,11.7,17,Public,24.3,14.7,87,26.4,23.4,5.2,44.3
Glendale Elementary,5,434,6,99.2,97.8,16.6,Public Magnet,93.6,97.4,26,4.1,86.9,1.8,5.1
Glenellen Elementary,4,1019,48,76,73.9,14.3,Public,67.7,70.3,71,22.3,56.3,1,11.4
Glengarry Elementary,0,472,93,1.9,10.2,15.7,Public,15.4,6,30,17.6,23.7,1.7,56.1
Glenn Elementary,0,181,88,4.2,8.9,10,Public Magnet,14.3,8.8,18,91.7,5.5,0,2.8
Glenview Elementary,0,798,87,4.6,9.8,14.5,Public,14.9,9.1,55,13.5,37.7,0.6,47.4
Goodlettsville Elementary,1,387,72,14.3,18.5,12.9,Public,26.7,21.7,30,36.4,43.4,3.4,11.6
Goodlettsville Middle,0,487,84,8.7,16.6,17.3,Public Magnet,26.5,14.9,28,46.4,32.6,2.5,15.2
Gower Elementary,2,706,48,49.6,65.9,14.1,Public,61.8,49.4,50,20.8,55.8,7.8,12.6
Gra-Mar Middle,0,406,90,2.4,3.7,15,Public,6.8,5.8,27,74.1,14.5,1,8.1
Granbery Elementary,5,742,43,89.9,91,17.2,Public,83.6,84.8,43,16.6,59.7,9.7,11.6
Grassland Elementary,5,518,4,97.7,96.5,15.2,Public,90.7,95,34,4.4,88.2,2.3,3.3
Grassland Middle School,5,921,5,97.6,97.3,17,Public,89.9,91.5,54,1.5,90.1,2.9,2.9
Guild Elementary,4,675,63,74.8,62,14.6,Public,58.2,69.1,46,21.8,59.1,1.5,14.8
H. G. Hill Middle,2,607,76,37.2,44.5,16.8,Public,49,42.3,36,24.5,45.1,10.7,18.9
Happy Valley Elementary,4,557,73,76.1,65.1,15.4,Public,61.1,70.8,36,2.3,89.8,0.2,4.5
Harold B. Williams Elementary School,4,662,27,89.8,82.7,14.7,Public,74.8,84.7,45,2.6,92.1,1.2,2.6
Harpeth Valley Elementary,5,763,26,91.9,95.7,15.8,Public,89.4,86.7,48,11,77.6,7.3,2.4
Harris Middle School,2,986,82,32.2,26.2,19.3,Public,36.7,38,51,15.9,48.4,1,30.6
Hattie Cotton Elementary,0,422,76,5.2,3.1,12.7,Public Magnet,6.6,10.5,33,64,19,1.2,13.7
Haynes Middle,0,272,82,6.7,5.1,16,Public,11.3,11.7,17,97.4,1.1,0.7,0.7
Haynesfield Elementary,4,397,41,88.6,89.7,18,Public,81.7,83.2,22,0.8,91.2,0.8,3
Haywood Elementary,0,842,94,7,6.1,14.2,Public,11.3,12.1,59,11.3,14.5,12.5,61.3
Hazelwood Elementary,5,806,34,95.1,92.9,13.8,Public,85.3,90.1,58,22.1,47,2.2,18.9
Head Middle,4,587,48,83.4,86.5,17.7,Public Magnet,76.6,74.5,33,57.9,30.2,7.5,4.1
Hendersonville High School,4,1522,21,73.9,79.6,15.5,Public,68,63.4,98,8.7,85.2,1.6,3.5
Hickman Elementary,1,536,74,14.1,24.9,14.4,Public,32.7,21.5,37,36,48.1,2.2,9.3
Highland Park Elementary,2,348,88,34.6,25.6,11.6,Public,34.1,39.7,30,20.1,54.3,0,22.7
Hillsboro Elementary/ Middle School,5,529,20,93,92,12.5,Public,84.3,88.4,42,1.1,90.5,1.3,3.2
Hillsboro High,1,1198,53,21.6,25.4,17.1,Public Magnet,37.2,26.2,70,51.7,38.1,2.5,7.1
Hillwood High,1,1154,66,25.3,22.4,18,Public,35.2,31,64,34.4,46,7.8,10.8
Hobgood Elementary,1,483,71,22.4,30.6,10.7,Public,38.7,29.1,45,33.7,35.4,2.9,21.1
Holloway High School,1,118,54,23.6,22.7,7.3,Public,35.4,28.9,16,22.9,65.3,0.8,8.5
Holston Valley Middle School,2,190,73,40.5,25.6,9.5,Public,36.2,44.1,20,1.1,96.3,1.1,1.1
Holston View Elementary,5,370,38,95.7,86.2,14.2,Public,78.6,91.1,26,0.8,91.1,0.5,3
Homer Pittard Campus School,4,248,12,83.6,95.1,16.5,Public,88.3,77.6,15,8.1,83.5,4,2
Howard Elementary,3,521,42,57.3,45.9,14.4,Public,48.5,54.7,36,19.4,64.7,2.5,12.5
Hull-Jackson Elementary,0,508,53,5.5,13.5,14.9,Public Magnet,21.3,10.6,34,87.2,6.1,2.8,2.6
Hume - Fogg High,5,915,29,98.6,97,19.8,Public Magnet,89.6,97.9,46,21.4,63.1,8.6,6.2
Hunters Bend Elementary,5,564,4,97.1,97.1,16.5,Public,92.1,93.7,34,2.5,86.9,4.8,3
Hunters Lane High,1,1695,84,12.9,11.4,18,Public Magnet,23.7,16.4,94,56.9,19.4,1.2,21.4
Indian Lake Elementary,5,555,10,96.7,96.7,15.8,Public,91.2,93.1,35,1.4,93.3,2.2,1.6
Indian Springs Elementary,4,389,36,75.6,71.1,14.4,Public,65.9,70.3,27,0,95.9,0.3,1.8
Inglewood Elementary,0,306,80,4.1,0.6,10.9,Public,1.5,9.2,28,81,10.1,0.7,5.9
Isaac Litton Middle,1,419,71,13,6.4,14.4,Public,13.2,20.5,29,47.7,43.9,2.4,4.8
Isaiah T. Creswell Middle,0,426,72,2.2,6.6,14.6,Public Magnet,13.5,4.9,29,87.6,9.4,0.7,2.1
J E Woodard Elementary,4,510,49,79.5,75.4,15.4,Public,68.5,73.1,33,11,75.3,1.2,10
J W Wiseman Elementary,3,431,49,65.4,33.7,13,Public,40.8,61.4,33,4.9,89.1,0.7,2.3
J. Brown Elementary,0,401,67,7.3,14.7,13.3,Public,23.1,12.4,30,38.7,47.9,1.2,12
J. R. Baker Elementary,4,332,50,70.2,53.9,14.4,Public,53.1,65.2,23,24.7,63.9,1.8,9.3
Jack Anderson Elementary,5,707,15,97,95,16.8,Public,88.2,93.6,42,5.9,87.8,3.1,2.5
Jackson Elementary,2,519,87,34.2,30.7,14.8,Public,38.8,39.2,35,9.6,72.6,0.4,9.8
Jefferson Elementary,4,450,45,83.5,79.1,16.6,Public,71.3,77,27,3.6,84.9,4,4.2
Jere Baxter Middle,0,369,90,4.3,2.3,14.1,Public,4.4,8.2,26,62.6,16.5,1.9,18.7
Jim Satterfield Middle School,5,272,56,95.1,76.8,15.1,Public,69.3,87.4,18,14,80.5,0,4.4
Joe Shafer Middle School,3,656,55,55.1,44.7,14.9,Public,49,54,44,20.4,66.9,0.9,9.9
John Adams Elementary,5,372,30,95,91.7,14.8,Public,84.3,90,25,0.8,88.7,2.2,4.6
John B. Whitsitt Elementary,0,517,89,0.6,1,13.6,Public,2.4,2.3,38,14.1,14.9,2.9,64.8
John Early Middle,0,482,86,3.4,2.5,12.6,Public Magnet,5.2,7,38,84.4,9.8,2.5,2.5
John Overton High,1,1894,67,17.5,10.7,20.5,Public,23.3,21.4,92,22.2,34.2,14.5,28.7
John Pittard Elementary,2,989,53,37.3,28.9,14.7,Public,37.5,41.1,67,27.7,49,1.5,15.3
John Trotwood Moore Middle,3,639,43,60.3,78.5,14.2,Public Magnet,70.4,59.6,45,32.9,57.1,3.8,5.5
Johnson Elementary,4,531,54,84.5,91.6,16,Public,83.9,79.1,33,4.1,86.8,2.4,2.1
Johnson Elementary,4,393,45,72.6,86.7,10.3,Public,79,67.6,38,18.6,45.3,4.1,23.2
Jones Elementary,1,366,65,16.4,18.2,15.2,Public Magnet,26.5,24,24,95.1,2.2,0.5,1.6
Julia Green Elementary,5,581,18,97.5,87.6,14.8,Public Magnet,79.8,94.8,39,14.1,75.6,6.5,2.9
K I P P Academy Nashville,5,349,87,93.1,66.6,13.4,Public Charter,62.5,83.6,26,68.8,2.6,0.3,27.5
Kennedy Elementary,2,318,79,43.3,48.8,12.7,Public,50.2,45.3,25,3.5,87.1,0,2.8
Kenrose Elementary,5,820,2,98.8,98.4,16.4,Public,94,96.6,50,2.1,68.7,21.1,3.9
Kenwood Elementary,3,713,67,62.8,43.7,13.2,Public,47.1,59.6,54,31.6,40.3,0.7,16.1
Kenwood High School,2,1089,59,47.4,58.5,17.8,Public,56.9,45.8,61,39.7,37.6,1.5,11.6
Kenwood Middle School,2,863,71,32.6,36.9,14.1,Public,43.6,38.7,61,37.7,38.7,1.2,13.4
Ketron Elementary School,1,722,78,12.7,,17.6,Public,,20.2,41,1.1,93.4,0.1,2.9
Kirkpatrick Elementary,0,375,79,0.5,0.7,11,Public Magnet,1.7,1.9,34,86.1,8,1.6,1.1
Lake Ridge Elementary,5,517,22,91,86.6,16.6,Public,79,85.9,31,1.4,82.8,5.4,7
Lakeside Park Elementary,4,355,33,74.3,77.2,13.6,Public,69.9,68.9,26,9.3,84.5,0.6,3.9
Lakeview Elementary,0,975,80,9.3,5.9,14.5,Public Magnet,11.1,15.6,67,40.6,30.9,0.9,24.9
Lakeview Elementary School,5,692,22,96.5,96.2,16.8,Public,90.3,92,41,0.7,90.5,1.4,2.7
Lavergne High School,2,1771,59,41.7,46.5,15.2,Public,50.3,42.6,116,35,36.5,3.1,24.6
Lavergne Lake Elementary School,3,917,66,68,70.5,13.6,Public,65.5,63.1,67,40.2,29.7,2.6,23.3
Lavergne Middle School,2,1020,71,45.7,47.1,14.5,Public,50.6,47.7,70,37,29.2,3.1,28.3
Lead Prep Southeast,2,235,77,47.8,,14.6,Public Charter,,49.6,16,36.6,33.2,3.4,26.8
Learning Way Elementary,1,575,97,10.4,12.1,15.1,Public,19.3,16.1,38,12.7,39.1,1.2,39.7
Lebanon High School,3,1802,39,52,33.1,18,Public,41.5,49,100,5.5,74,1.5,8.5
Liberty Bell Middle School,5,1141,46,95.5,92.6,22.3,Public,82.3,88,51,11,76.4,2.9,6.7
Liberty Collegiate Academy,5,416,81,91.3,93.4,14.8,Public Charter,82.9,82.6,28,52.9,14.9,0.7,31.3
Liberty Elementary,4,522,46,86.4,93.5,11.3,Public,86.2,81,46,13.6,47.3,3.6,31.6
Liberty Elementary,2,717,62,31.7,20.5,16.6,Public,29.2,37.3,43,1.3,88.6,0.3,7.9
Liberty Elementary,3,807,63,60.1,52.4,13.4,Public,52.6,57.4,60,27.3,45.8,0.1,12
Lincoln Elementary,3,460,78,62.1,70.6,15.3,Public,65.5,58.7,30,17,63.9,0.9,5.4
Lipscomb Elementary,5,775,5,98.9,98.6,16.4,Public,94,96.9,47,3.6,80.9,8.1,2.6
Lockeland Elementary,5,300,20,99.4,98,13.6,Public Magnet,93.7,97.5,22,13,82.7,2,1.3
Longview Elementary School,5,863,13,95.4,91.1,17.2,Public,83.7,90.4,50,3.2,83.3,1.4,8.5
Madison Creek Elementary,4,740,21,79.7,82.9,13.7,Public,75.2,73.1,54,12.8,77,3.5,3.9
Maplewood High,0,1002,86,2.9,3.7,18.9,Public,13,7.2,53,72.2,11.3,1.1,14.5
Margaret Allen Middle,1,504,89,24.7,11.5,18.6,Public,20.5,33.1,27,34.3,31,3.6,30.8
Martin Luther King Junior School,5,1224,37,98.9,97.7,21.1,Public Magnet,90.2,98.9,58,36.8,42.1,11.8,4.7
Marvin Wright Elementary School,4,611,31,77.1,84.3,16.5,Public,76.4,72.1,37,3.9,86.7,1.8,7.4
May Werthan Shayne Elementary School,2,794,55,36.6,41.7,16.5,Public,45.5,41,48,32.5,50.5,8.3,6.4
McDowell Elementary,0,358,76,5.6,16.9,14.3,Public,25.2,11.4,25,42.7,33.2,0.8,22.6
McFadden School Of Excellence,5,388,3,99.8,99.3,18.4,Public Magnet,94.9,98.5,21,4.9,86.9,3.1,2.3
McGavock Elementary,1,310,76,19.9,15.3,14.7,Public,23.7,27.1,21,20.6,39.7,4.5,30.3
McGavock High,1,2314,65,19.8,24.7,17.5,Public,36.7,24.8,132,37.3,45.5,2.5,13.3
McMurray Middle,1,740,98,12.8,6.8,17.6,Public,13.6,21.4,42,11.9,18.2,19.5,50
Meigs Middle,5,699,28,98.2,98.4,19.4,Public Magnet,91.7,91.8,36,25.3,59.9,8.7,4.7
